_id,Year,Province,Grade,Male,Female
1,2010.0,Punjab,1,8580,488
2,2010.0,Punjab,2,5321,465
3,2010.0,Punjab,3,1816,155
4,2010.0,Punjab,4,1739,735
5,2010.0,Punjab,5,3333,53
6,2010.0,Punjab,6,2861,62
7,2010.0,Punjab,7,3207,106
8,2010.0,Punjab,8,722,14
9,2010.0,Punjab,9,2343,590
10,2010.0,Punjab,10,163,6
11,2010.0,Punjab,11,2398,50
12,2010.0,Punjab,12,901,84
13,2010.0,Punjab,13,176,1
14,2010.0,Punjab,14,1208,82
15,2010.0,Punjab,15,640,11
16,2010.0,Punjab,16,1321,2241
17,2010.0,Punjab,17,4124,1057
18,2010.0,Punjab,18,1936,423
19,2010.0,Punjab,19,1005,195
20,2010.0,Punjab,20,309,45
21,2010.0,Punjab,21,173,6
22,2010.0,Punjab,22,2,0
23,2010.0,Sindh,1,8,0
24,2010.0,Sindh,2,227,62
25,2010.0,Sindh,3,3,0
26,2010.0,Sindh,5,52,0
27,2010.0,Sindh,6,5,0
28,2010.0,Sindh,7,13,0
29,2010.0,Sindh,8,2,0
30,2010.0,Sindh,9,2,0
31,2010.0,Sindh,10,1,0
32,2010.0,Sindh,11,7,0
33,2010.0,Sindh,14,1,0
34,2010.0,Sindh,15,1,0
35,2010.0,Sindh,16,3,0
36,2010.0,Sindh,17,2,0
37,2010.0,KPK,1,18637,759
38,2010.0,KPK,2,39269,2111
39,2010.0,KPK,3,4831,811
40,2010.0,KPK,4,1355,78
41,2010.0,KPK,5,42770,747
42,2010.0,KPK,6,1445,79
43,2010.0,KPK,7,15641,960
44,2010.0,KPK,8,147,255
45,2010.0,KPK,9,13717,2352
46,2010.0,KPK,10,291,94
47,2010.0,KPK,11,1436,209
48,2010.0,KPK,12,24060,15167
49,2010.0,KPK,13,85,1
50,2010.0,KPK,14,14470,1690
51,2010.0,KPK,15,21137,6937
52,2010.0,KPK,16,12369,5128
53,2010.0,KPK,17,7774,2062
54,2010.0,KPK,18,2300,330
55,2010.0,KPK,19,1087,108
56,2010.0,KPK,20,306,59
57,2010.0,KPK,21,71,4
58,2010.0,KPK,22,1,0
59,2010.0,Balochistan,1,5520,266
60,2010.0,Balochistan,2,1812,10
61,2010.0,Balochistan,3,319,0
62,2010.0,Balochistan,4,867,0
63,2010.0,Balochistan,5,1413,365
64,2010.0,Balochistan,6,1785,6
65,2010.0,Balochistan,7,1603,10
66,2010.0,Balochistan,8,439,258
67,2010.0,Balochistan,9,912,3
68,2010.0,Balochistan,10,2,2
69,2010.0,Balochistan,11,661,275
70,2010.0,Balochistan,12,393,12
71,2010.0,Balochistan,13,24,0
72,2010.0,Balochistan,14,732,4
73,2010.0,Balochistan,15,135,0
74,2010.0,Balochistan,16,540,73
75,2010.0,Balochistan,17,1360,79
76,2010.0,Balochistan,18,206,15
77,2010.0,Balochistan,19,85,2
78,2010.0,Balochistan,20,29,0
79,2010.0,Balochistan,21,2,0
80,2010.0,Gilgit-Baltistan,1,184,0
81,2010.0,Gilgit-Baltistan,2,451,0
82,2010.0,Gilgit-Baltistan,3,21,0
83,2010.0,Gilgit-Baltistan,4,45,0
84,2010.0,Gilgit-Baltistan,5,3872,42
85,2010.0,Gilgit-Baltistan,6,115,3
86,2010.0,Gilgit-Baltistan,7,715,14
87,2010.0,Gilgit-Baltistan,8,4,0
88,2010.0,Gilgit-Baltistan,9,258,15
89,2010.0,Gilgit-Baltistan,10,3,0
90,2010.0,Gilgit-Baltistan,11,36,0
91,2010.0,Gilgit-Baltistan,12,52,0
92,2010.0,Gilgit-Baltistan,14,228,4
93,2010.0,Gilgit-Baltistan,15,28,0
94,2010.0,Gilgit-Baltistan,16,112,1
95,2010.0,Gilgit-Baltistan,17,143,4
96,2010.0,Gilgit-Baltistan,18,52,0
97,2010.0,Gilgit-Baltistan,19,11,0
98,2010.0,Gilgit-Baltistan,20,3,0
99,2010.0,Gilgit-Baltistan,21,1,0
100,2011.0,Punjab,1,8680,509
101,2011.0,Punjab,2,5429,502
102,2011.0,Punjab,3,1797,149
103,2011.0,Punjab,4,2047,682
104,2011.0,Punjab,5,3298,58
105,2011.0,Punjab,6,2612,51
106,2011.0,Punjab,7,3193,115
107,2011.0,Punjab,8,815,20
108,2011.0,Punjab,9,2502,585
109,2011.0,Punjab,10,137,8
110,2011.0,Punjab,11,2085,54
111,2011.0,Punjab,12,1297,120
112,2011.0,Punjab,13,240,2
113,2011.0,Punjab,14,1113,213
114,2011.0,Punjab,15,704,70
115,2011.0,Punjab,16,1327,1996
116,2011.0,Punjab,17,3872,1074
117,2011.0,Punjab,18,2059,472
118,2011.0,Punjab,19,1303,168
119,2011.0,Punjab,20,286,47
120,2011.0,Punjab,21,221,4
121,2011.0,Punjab,22,2,0
122,2011.0,Sindh,1,12,0
123,2011.0,Sindh,2,470,74
124,2011.0,Sindh,3,3,0
125,2011.0,Sindh,5,78,0
126,2011.0,Sindh,6,6,0
127,2011.0,Sindh,7,25,0
128,2011.0,Sindh,8,1,0
129,2011.0,Sindh,9,2,0
130,2011.0,Sindh,10,2,0
131,2011.0,Sindh,11,8,0
132,2011.0,Sindh,12,1,0
133,2011.0,Sindh,14,3,0
134,2011.0,Sindh,15,1,0
135,2011.0,Sindh,16,3,0
136,2011.0,Sindh,17,1,0
137,2011.0,KPK,1,22598,936
138,2011.0,KPK,2,39712,2196
139,2011.0,KPK,3,4847,813
140,2011.0,KPK,4,1643,78
141,2011.0,KPK,5,48163,769
142,2011.0,KPK,6,1480,80
143,2011.0,KPK,7,16014,1013
144,2011.0,KPK,8,157,256
145,2011.0,KPK,9,14244,2504
146,2011.0,KPK,10,293,94
147,2011.0,KPK,11,1476,213
148,2011.0,KPK,12,25150,15791
149,2011.0,KPK,13,87,1
150,2011.0,KPK,14,14603,1705
151,2011.0,KPK,15,21382,7097
152,2011.0,KPK,16,12480,5316
153,2011.0,KPK,17,7998,2118
154,2011.0,KPK,18,2312,335
155,2011.0,KPK,19,1087,108
156,2011.0,KPK,20,307,59
157,2011.0,KPK,21,72,4
158,2011.0,KPK,22,2,0
159,2011.0,Balochistan,1,5872,270
160,2011.0,Balochistan,2,1879,10
161,2011.0,Balochistan,3,303,0
162,2011.0,Balochistan,4,908,0
163,2011.0,Balochistan,5,1564,365
164,2011.0,Balochistan,6,1816,2
165,2011.0,Balochistan,7,1650,9
166,2011.0,Balochistan,8,489,266
167,2011.0,Balochistan,9,1067,5
168,2011.0,Balochistan,10,5,0
169,2011.0,Balochistan,11,704,275
170,2011.0,Balochistan,12,414,12
171,2011.0,Balochistan,13,24,0
172,2011.0,Balochistan,14,762,6
173,2011.0,Balochistan,15,141,1
174,2011.0,Balochistan,16,558,71
175,2011.0,Balochistan,17,1363,79
176,2011.0,Balochistan,18,211,15
177,2011.0,Balochistan,19,81,2
178,2011.0,Balochistan,20,29,0
179,2011.0,Balochistan,21,3,0
180,2011.0,Gilgit-Baltistan,1,199,1
181,2011.0,Gilgit-Baltistan,2,479,0
182,2011.0,Gilgit-Baltistan,3,23,0
183,2011.0,Gilgit-Baltistan,4,51,0
184,2011.0,Gilgit-Baltistan,5,4445,132
185,2011.0,Gilgit-Baltistan,6,120,3
186,2011.0,Gilgit-Baltistan,7,768,14
187,2011.0,Gilgit-Baltistan,8,2,0
188,2011.0,Gilgit-Baltistan,9,297,19
189,2011.0,Gilgit-Baltistan,10,3,0
190,2011.0,Gilgit-Baltistan,11,39,0
191,2011.0,Gilgit-Baltistan,12,54,0
192,2011.0,Gilgit-Baltistan,14,244,4
193,2011.0,Gilgit-Baltistan,15,30,0
194,2011.0,Gilgit-Baltistan,16,125,1
195,2011.0,Gilgit-Baltistan,17,165,4
196,2011.0,Gilgit-Baltistan,18,49,1
197,2011.0,Gilgit-Baltistan,19,17,0
